Horizon,LPS,MAE,RMSE
1,2.563957886645507,49.116078562638194,63.109856823321564
2,2.274677498510329,62.6376290597827,83.54820456122528
3,1.8361510206138336,127.64921166836255,175.6156725391369
4,1.486567430310285,208.01290884094234,264.75492989457024
5,1.2555685169803796,259.24224049853876,316.56648594980663
6,0.8056940440665958,330.0838794466747,399.7947884760755
7,0.07410507109096677,463.47909055262716,525.861510473367
8,-0.2497390411220346,496.97513329978864,572.7966557693686
9,-0.5238044026302653,539.7798280078447,622.1107436719084
10,-0.7561104843635711,545.0035477924615,650.3267358722925
11,-0.6010887216896784,568.452121608154,655.1385722010899
12,0.011343164387363935,520.0881554422522,616.1518390325587
13,0.1695007102125457,509.11539906964026,659.0650659075832
14,0.6984887907670252,450.93814364646994,583.53100234994
15,0.8606614294598811,446.1172490251503,550.9798557294448
16,1.103037100239873,390.6471630028968,455.75225391813944
17,1.1480351670854312,354.56933115869793,412.88411502534075
18,1.206123491932451,320.0048409043628,366.98333687964623
19,1.3525295977343135,243.22410387418418,288.3920982815274
20,1.3714957348179233,200.89594296853141,258.4575518421331
21,1.4459281003659201,180.61558129984073,230.34947846825378
22,1.4298411161820495,158.65724941021764,218.79637343902604
23,1.4413748402853337,149.62048421095542,200.28359206850027
24,1.4528429614469522,137.5135061878835,185.07719242152245
25,1.4270151898150254,154.64437369450735,192.8993835623652
26,1.402589499007602,159.4483554257931,202.7844762842419
27,1.3526644074403718,187.11482938807183,247.02931486714436
28,1.1802028645258957,298.7875689928101,359.18878821914694
29,1.047013101394021,346.3412230821098,444.5880515034854
30,1.0276567994445023,342.00475212808465,446.8381469030961
31,0.7700128376804413,411.94454466522825,511.6239326210561
32,0.689854790640665,450.0620571746696,540.4624797008207
33,0.5156612735286314,498.8935180420086,606.0691039009954
34,0.3483025162243583,548.9014301258121,677.810577748331
35,0.12400245037121681,604.3924079148242,764.3399732592729
36,0.10370173771515313,625.1584597682612,777.2215148208631
37,0.32205851482522907,585.4674278929884,792.9214691309164
38,0.574382169884336,538.4927594115192,774.229727521855
39,0.8070971855991705,481.12614753805354,676.9762332683963
40,0.9152547063065494,417.7122544447992,581.3853377566053
41,1.0061188474196467,367.27731531751965,502.97098960535067
42,1.1134840990209542,311.783557727804,416.70601884596726
43,1.2163551355655793,248.6093243931547,328.58762241321284
44,1.3072171330401134,204.85288168567325,261.9911393053322
45,1.3740466673662084,166.18364405499597,217.346230148229
46,1.3842522172770948,153.5178373352592,201.6479595120724
47,1.361199689769673,155.96701847525588,199.7543241200288
48,1.3299486130072262,159.90533213169857,201.66162773951555
49,1.3287875176605284,152.96250964934111,198.26800443241103
50,1.3316057204621818,159.12570436761482,206.482877605136
51,1.225368932185077,199.33646147256735,282.2320168762328
52,1.1013498156284895,279.6253577903101,379.5524563295086
53,0.9587783579449113,345.98921161861443,457.773259790531
54,0.9247860816685171,350.20210776554285,467.4381965024703
55,0.873365749235883,373.3827998845751,468.8056752268686
56,0.8160033655775814,392.08697815059054,480.9687680749238
57,0.7128577457929015,422.8315526379053,522.4612101502752
58,0.50476388104179,505.50262823857884,617.6265515233316
59,0.4295259357891001,539.8228364278402,672.416229096874
60,0.47348066868171984,537.8052861724561,676.7500482871621
61,0.633883260869157,529.5757541200298,662.7629635208874
62,0.8206704759401923,496.8262890183864,638.4441048506574
63,0.8694295527126191,487.9240652796691,650.562478344821
64,0.9523568979572526,421.4408935603141,619.7383484628683
65,0.9995698115709896,363.6277657051653,530.8073830391554
66,1.1120861078031175,306.2210250515127,418.5551555088417
67,1.2232207091875709,234.98022722774508,313.1608744900507
68,1.3111053716761634,190.43534609440886,235.3819866258392
69,1.3579050907775765,155.94600439014724,192.08829738248878
70,1.3628849722999303,141.75868716241314,170.92103577906303
71,1.3681249685932702,134.60171813765766,159.18025337581656
72,1.335959120022531,144.25996956481387,166.77003725532722
73,1.3012158883865306,152.06186608406284,182.84462216939974
74,1.2645148380497482,163.72313270998808,209.39703785025156
75,1.1684072024968108,225.62785815167854,302.16290130427217
76,1.0372709648124185,291.88327607025604,412.1154731220856
77,1.0031663879130124,325.0570741664395,443.1570194066908
78,0.8236200683238899,381.43359707430324,505.9212475540351
79,0.5764001601330849,445.33639786355724,562.0398256065857
80,0.3849162997092433,518.4882731473978,647.2489690707845
81,0.278380257383409,569.1480308962538,670.3272178660711
82,0.1356470289943595,642.7521086028775,742.9373102411073
83,0.15688800070814016,631.7120626018002,748.9151981359386
84,0.23707722482143048,642.316035091256,754.2540211400838
85,0.4677503150121795,585.1187783999989,718.8723870906946
86,0.8047148076223325,457.35653941081927,669.1792512644142
87,0.9201223354039202,423.5776315382201,646.0024198396871
88,0.938060417050682,410.0297387847301,636.367568318122
89,0.9570210464291263,401.3976445081475,562.2263800943562
90,1.0398319590031933,357.90989379674494,467.64732231127294
91,1.0979994214377387,308.2538703144911,383.34985850919213
