Hour,LPS,MAE,RMSE,Mean_load
0,1.2867925398992248,190.26750311644494,240.3564710533072,4813.7749047619045
1,1.2844163673359326,176.99408283282543,224.6444802267587,4492.5011904761905
2,1.2491989906894245,179.75369328209425,226.53244676592385,4206.305857142857
3,1.212558250751626,186.9991187321751,234.5889407235226,4019.9969523809523
4,1.409533735384405,166.50710366517956,217.78585584536933,3991.283857142857
5,1.3658531145213444,176.42881162818134,227.00156621320875,4121.401333333333
6,1.2405922534128864,224.34742445509252,292.4755991521103,4486.814952380952
7,1.0882498971540646,308.0997612264308,390.01771462203874,4991.926619047618
8,0.9646905582303161,364.26225234233596,461.47184776165966,5176.729571428571
9,0.8251505023571575,387.94522993936664,494.16417568094886,5144.611
10,0.6015591487604003,441.13854871086505,532.8976800585921,4927.584285714286
11,0.49207005197698683,460.06747264864407,561.0892332433049,4716.2536666666665
12,0.36402216199685655,492.6794951248156,594.7246246858286,4611.672761904762
13,0.26379326677634457,526.1619873204427,635.0447778372203,4584.414333333333
14,0.23856987759301887,543.2747439083365,662.6756516751732,4662.766523809523
15,0.34985311366035604,548.2146522844853,671.6954502070236,4806.507
16,0.4984458826877906,525.7382284863346,679.8796117709902,5122.587428571428
17,0.7185556882639235,482.34095585422585,659.8072092177146,5580.744523809524
18,0.8193469136824008,471.49307244370783,641.6573152998137,5990.814761904762
19,0.9070256707042489,431.5099131633684,592.4737371249676,5977.1940476190475
20,0.9693686583123947,386.0297359076317,518.8241737857661,5737.898857142856
21,1.0590501482048862,332.4122638053534,430.58280724110426,5403.39238095238
22,1.1657738777897682,263.360607132325,338.61368987225484,5042.292333333334
23,1.2336190661434736,216.38861466195578,274.6402971753706,4754.084428571429
