Season,Hour_of_week,Pre_COVID,COVID,Difference
Summer,0,4483.196,4431.645833333333,-51.55016666666688
Summer,1,4120.8318461538465,4132.420833333333,11.58898717948614
Summer,2,3877.9903076923083,3890.3541666666665,12.363858974358209
Summer,3,3742.1856923076916,3758.169166666667,15.9834743589754
Summer,4,3771.097384615383,3776.4950000000003,5.397615384617438
Summer,5,4023.1769230769214,4032.0149999999994,8.838076923078006
Summer,6,4530.002923076923,4474.028333333333,-55.97458974359051
Summer,7,5038.726307692308,4848.360833333333,-190.365474358975
Summer,8,5067.521230769229,4785.55,-281.9712307692289
Summer,9,5124.101384615385,4709.479166666666,-414.62221794871857
Summer,10,5162.03076923077,4648.879166666666,-513.151602564104
Summer,11,5218.8710769230765,4630.315,-588.556076923077
Summer,12,5265.227076923075,4700.815,-564.4120769230758
Summer,13,5345.677692307693,4752.870833333333,-592.8068589743598
Summer,14,5474.57876923077,4832.47,-642.1087692307701
Summer,15,5600.191230769232,4940.2908333333335,-659.9003974358984
Summer,16,5772.438615384614,5218.2275,-554.2111153846145
Summer,17,5874.311846153845,5481.4141666666665,-392.8976794871787
Summer,18,5753.623999999998,5575.520833333333,-178.10316666666495
Summer,19,5513.439384615385,5537.679999999999,24.240615384614102
Summer,20,5324.727076923079,5404.715833333332,79.98875641025279
Summer,21,5061.3679999999995,5116.5216666666665,55.15366666666705
Summer,22,4641.561846153846,4735.2825,93.72065384615416
Summer,23,4443.459999999999,4477.544999999999,34.085000000000036
Summer,24,4646.533076923076,4622.016923076923,-24.51615384615252
Summer,25,4251.707846153846,4285.793076923076,34.08523076923029
Summer,26,4005.75076923077,4026.0999999999995,20.349230769229507
Summer,27,3858.319538461539,3881.7746153846156,23.455076923076376
Summer,28,3884.8323076923084,3900.5376923076915,15.705384615383082
Summer,29,4125.839538461539,4124.351538461539,-1.4879999999993743
Summer,30,4631.965846153847,4544.054615384615,-87.91123076923213
Summer,31,5124.960461538464,4902.3492307692295,-222.61123076923468
Summer,32,5121.670461538461,4799.95,-321.72046153846077
Summer,33,5153.925692307692,4662.03,-491.8956923076921
Summer,34,5170.376615384615,4540.356923076923,-630.0196923076928
Summer,35,5226.584307692308,4498.217692307693,-728.3666153846152
Summer,36,5270.141230769229,4447.485384615384,-822.6558461538452
Summer,37,5354.618923076922,4380.071538461539,-974.5473846153836
Summer,38,5473.927384615384,4384.237692307694,-1089.6896923076902
Summer,39,5588.790461538462,4470.046923076924,-1118.7435384615383
Summer,40,5811.408923076924,4716.473076923077,-1094.9358461538468
Summer,41,5891.894153846152,5006.376153846154,-885.5179999999982
Summer,42,5778.054769230769,5148.192307692308,-629.8624615384615
Summer,43,5555.978461538459,5153.995384615385,-401.9830769230739
Summer,44,5360.678153846153,5087.241538461539,-273.436615384614
Summer,45,5105.554769230768,4865.3976923076925,-240.1570769230757
